Trade #,Type,Signal,Date/Time,Price,Contracts,Profit €,Profit %,Cum. Profit €,Cum. Profit %,Run-up €,Run-up %,Drawdown €,Drawdown %
1,Entry Short,Short,2021-05-17 21:20,2.1682,18,0.63,1.76,0.63,15.65,0.64,1.72,0.11,0.2
1,Exit Short,Short Exit,2021-05-17 21:35,2.1317,18,0.63,1.76,0.63,15.65,0.64,1.72,0.11,0.2
2,Entry Long,Long,2021-05-17 22:05,2.1446,18,-0.17,-0.44,0.45,-3.7,0.04,0.11,0.25,0.66
2,Exit Long,Long Exit,2021-05-17 22:10,2.1368,18,-0.17,-0.44,0.45,-3.7,0.04,0.11,0.25,0.66
3,Entry Short,Short,2021-05-18 09:00,2.0309,19,-0.26,-0.52,0.19,-5.9,0.54,1.48,0.27,0.61
3,Exit Short,Short Exit,2021-05-18 09:05,2.0431,19,-0.26,-0.52,0.19,-5.9,0.54,1.48,0.27,0.61
4,Entry Long,Long,2021-05-18 18:40,2.0941,19,0.27,0.69,0.47,6.53,0.29,0.73,0.20,0.5
4,Exit Long,Long Exit,2021-05-18 19:10,2.1102,19,0.27,0.69,0.47,6.53,0.29,0.73,0.20,0.5
5,Entry Long,Long,2021-05-18 23:30,2.0065,19,-0.47,-1.22,0.001,-10.42,0.08,0.2,0.49,1.28
5,Exit Long,Long Exit,2021-05-18 23:35,1.9836,19,-0.47,-1.22,0.001,-10.42,0.08,0.2,0.49,1.28
6,Entry Short,Short,2021-05-19 00:40,2.0095,19,0.51,1.48,0.51,12.63,0.52,1.44,0.28,0.64
6,Exit Short,Short Exit,2021-05-19 01:10,1.9813,19,0.51,1.48,0.51,12.63,0.52,1.44,0.28,0.64
7,Entry Long,Long,2021-05-19 04:55,2.0299,19,-0.14,-0.37,0.36,-3.17,0.12,0.3,0.13,0.33
7,Exit Long,Long Exit,2021-05-19 05:00,2.0240,19,-0.14,-0.37,0.36,-3.17,0.12,0.3,0.13,0.33
8,Entry Long,Long,2021-05-19 07:05,2.0015,19,0.07,0.17,0.43,1.52,0.12,0.31,0.12,0.3
8,Exit Long,Long Exit,2021-05-19 07:10,2.0066,19,0.07,0.17,0.43,1.52,0.12,0.31,0.12,0.3
9,Entry Short,Short,2021-05-19 07:55,2.0155,19,0.41,1.22,0.84,9.18,0.42,1.18,0.09,0.14
9,Exit Short,Short Exit,2021-05-19 08:00,1.9925,19,0.41,1.22,0.84,9.18,0.42,1.18,0.09,0.14
10,Entry Short,Short,2021-05-19 09:35,2.0038,19,0.28,0.88,1.11,5.7,0.29,0.84,0.13,0.26
10,Exit Short,Short Exit,2021-05-19 09:45,1.9877,19,0.28,0.88,1.11,5.7,0.29,0.84,0.13,0.26
11,Entry Long,Long,2021-05-19 12:25,1.8512,21,-0.83,-2.13,0.28,-16.17,0.40,1.03,0.81,2.09
11,Exit Long,Long Exit,2021-05-19 13:05,1.8133,21,-0.83,-2.13,0.28,-16.17,0.40,1.03,0.81,2.09
12,Entry Short,Short,2021-05-19 14:40,1.7143,23,-1.30,-3.14,-1.02,-30.38,0.47,1.27,1.29,3.18
12,Exit Short,Short Exit,2021-05-19 15:10,1.7695,23,-1.30,-3.14,-1.02,-30.38,0.47,1.27,1.29,3.18
13,Entry Short,Short,2021-05-19 15:25,1.7461,22,0.53,1.53,-0.49,17.63,0.54,1.49,0.27,0.62
13,Exit Short,Short Exit,2021-05-19 15:45,1.7208,22,0.53,1.53,-0.49,17.63,0.54,1.49,0.27,0.62
14,Entry Long,Long,2021-05-19 20:05,1.6930,23,-0.40,-1.02,-0.89,-11.37,0.32,0.82,0.38,0.99
14,Exit Long,Long Exit,2021-05-19 20:10,1.6770,23,-0.40,-1.02,-0.89,-11.37,0.32,0.82,0.38,0.99
15,Entry Long,Long,2021-05-20 09:15,1.5426,25,-1.12,-2.91,-2.01,-36.02,0.36,0.95,1.11,2.87
15,Exit Long,Long Exit,2021-05-20 09:20,1.4990,25,-1.12,-2.91,-2.01,-36.02,0.36,0.95,1.11,2.87
16,Entry Short,Short,2021-05-21 14:55,1.7269,23,0.28,0.87,-1.73,14.13,0.54,1.45,0.02,0
16,Exit Short,Short Exit,2021-05-21 15:00,1.7133,23,0.28,0.87,-1.73,14.13,0.54,1.45,0.02,0
